Fecha,Hora,Nombre negocio,Ciudad,Dirección,método de entrega,método de entrega,Plan,Tipo de negocio,Cómo llegaron,Problemas de COVID
15 mayo 2020,12:00,VIP SOLUTIONS,Quito,Unión y Progreso Oe4451 y Domingo Segura,Entregas a domicilio,,Gratuito,Minimarket,,menor cantidad de ventas
16 mayo 2020,13:00,Zapatos para niños y adultos,Quito,"Entrada de Carapungo Av Padre Luis Vaccari, calle guangale, pasaje Valdivia",Entregas a domicilio,,Gratuito,Emprendimientos,,
17 mayo 2020,14:00,Distribuidora OZ,Quito,Carcelén,Entregas a domicilio,Servicio para llevar (Preparas el pedido y van a retirar),Gratuito,Minimarket,,No puedo trabajar en mi área.
18 mayo 2020,15:00,SUPERMARKET LAS ORQUIDEAS,Portoviejo,Las Orquideas diagonal la parque plr la canchas,Entregas a domicilio,,Gratuito,Minimarket,,Han bajado las ventas
19 mayo 2020,16:00,Endulzando Paladares,Quito,General Paya Oe8-162 y Alahuela,Entregas a domicilio,,Gratuito,Emprendimientos,,Dificultad de promocionar y llevar los productos.
20 mayo 2020,17:00,Creaciones Jasmina,Quito,Calderón,Entregas a domicilio,,Gratuito,Emprendimientos,,
21 mayo 2020,18:00,EASY ENTREGAS,Quito,Carcelén,,Servicio para llevar (Preparas el pedido y van a retirar),Gratuito,Emprendimientos,,Me ha hecho crecer e innovar
22 mayo 2020,19:00,Helados de Paila,Quito,Pasaje 28 N90-45,Entregas a domicilio,,Gratuito,Emprendimientos,,Cerré mi negocio.
23 mayo 2020,20:00,Distribuidora Los Huevos del Veci,Quito,Carcelén Bajo Mz H Pasaje 26 Calle A N90-80,Entregas a domicilio,,Estándar,Tienda,,"Totalmente, porque abrí un negocio"
24 mayo 2020,21:00,Tortas y Creaciones Villamacaro,Quito,"Carcelén Bajo, E11 Y N90, N90-45",Entregas a domicilio,,Gratuito,Emprendimientos,,
28 mayo 2020,22:00,Lisagam,Quito,Las casas y Lizarazu,Entregas a domicilio,,Gratuito,Bazar y papelería,Facebook,
28 mayo 2020,23:00,SUSHI CALL,QUITO,CARCELEN ALTO,Entregas a domicilio,Servicio para llevar (Preparas el pedido y van a retirar),Gratuito,Restaurante,Facebook,
28 mayo 2020,0:00,DILOJFRUT,QUITO,Calle E3 N90-13 y N90 (Carcelén Bajo),Entregas a domicilio,,Premium,Frutería y legumbrería,Facebook,
28 mayo 2020,1:00,VARIEDADES MYB,Quito,Carapungo,Entregas a domicilio,,Gratuito,Emprendimientos,Facebook,
28 mayo 2020,2:00,Mini marke j.j,Portoviejo,Ciudadela las orquideas,Entregas a domicilio,,Gratuito,Tienda,Facebook,
28 mayo 2020,3:00,Verycobachita,Quito,Cdla la ecuatoriana calle ignacio lecumberry s46 53,Entregas a domicilio,,Gratuito,Frutería y legumbrería,Facebook,
28 mayo 2020,4:00,La santina,Quito,Cuzubamba,Entregas a domicilio,,Gratuito,Tienda,Facebook,
28 mayo 2020,5:00,Justin love,Quito,Diego osorio,Entregas a domicilio,,Gratuito,Tienda,Facebook,
28 mayo 2020,6:00,Esoterismo,Quito,Calle Esmeraldas y Venezuela,Entregas a domicilio,,Gratuito,Tienda,Facebook,
28 mayo 2020,7:00,Aluminio y vidrio la florida,Sangolqui,Sangolqui,Entregas a domicilio,,Gratuito,Tienda,Facebook,
28 mayo 2020,8:00,MC capacitación,Quito,La Gasca,Entregas a domicilio,,Gratuito,Emprendimientos,Facebook,
